"Stars","ElapsedTime","Interest","Contributors","CommunityInterest","ExternalContributors","DeveloperExperience","OwnerEngagement","OwnerSpectrum","TotalVertices","C1C1","C1C2","C1C3","C1C4","C2C2","C2C3","C2C4","C3C3","C3C4","C4C4","RepeatInteractions","total.distinct","TotalEdges"
2,826.154,7,4,4,4,17623,0,0,4,0,0,0,5,0,0,0,0,0,5,4,2,6
1,196.613,7,5,6,5,17623,0,0,5,3,0,0,4,0,0,0,0,2,3,8,2,10
1,205.312,5,3,3,3,17623,0,0,3,0,0,0,3,0,0,0,0,1,1,3,0,3
1,977.233,3,3,2,2,3,5,0,3,0,0,1,2,0,0,0,0,0,0,1,2,3
3,586.498,5,5,2,5,17623,0,0,5,0,1,0,3,0,0,3,0,0,3,9,1,10
1,821.414,6,3,3,3,17623,0,0,3,0,0,0,0,0,0,0,0,0,5,3,0,3
1,24.08,4,3,4,3,17623,0,0,3,1,0,0,3,0,0,0,0,0,0,1,2,3
1,821.412,5,3,3,3,17623,0,0,3,0,0,0,0,0,0,0,0,0,5,3,0,3
1,824.338,6,4,3,4,17623,0,0,4,0,0,0,3,0,0,0,0,1,6,4,2,6
1,197.591,4,4,3,4,17623,0,0,4,0,0,1,2,0,0,1,0,0,2,4,2,6
2,978.305,6,4,5,4,17623,0,0,4,1,0,0,6,0,0,0,0,0,1,3,3,6
2,195.531,3,3,2,3,17623,0,0,3,0,0,0,2,0,0,0,0,0,1,2,1,3
1,821.407,5,3,2,3,17623,0,0,3,0,0,0,0,0,0,0,0,0,5,3,0,3
1,821.406,4,3,2,3,17623,0,0,3,0,0,0,0,0,0,0,0,0,4,3,0,3
1,821.391,6,3,3,3,17623,0,0,3,0,0,0,0,0,0,0,0,0,5,3,0,3
1,821.391,4,3,2,3,17623,0,0,3,0,0,0,0,0,0,0,0,0,4,3,0,3
1,181.813,3,3,2,2,27,16,5,3,0,0,0,0,0,0,1,0,0,2,3,0,3
1,213.964,3,3,3,3,17623,0,0,3,0,0,0,2,0,0,0,0,0,1,2,1,3
3,335.782,4,3,3,3,17623,0,0,3,0,0,0,2,0,0,0,0,0,1,2,1,3
1,809.837,6,4,4,4,17623,0,0,4,0,0,0,5,0,0,0,0,0,5,4,2,6
1,792.863,5,3,2,3,17623,0,0,3,0,0,0,0,0,0,0,0,0,5,3,0,3
7,1169.599,17,12,14,12,17623,0,0,12,16,0,0,49,0,0,0,0,3,26,19,47,66
2,792.856,6,4,4,4,17623,0,0,4,0,0,0,3,0,0,0,0,0,5,4,2,6
2,1266.309,8,8,7,8,17623,0,0,8,5,3,1,15,0,0,1,0,1,2,12,16,28
0,559.716,6,5,4,5,17623,0,0,5,0,0,1,3,0,0,0,0,2,1,4,6,10
2,196.793,4,3,4,3,17623,0,0,3,0,0,0,3,0,0,0,0,0,1,3,0,3
2,948.673,6,4,4,4,17623,0,0,4,0,0,0,3,0,0,0,0,0,5,6,0,6
1,792.849,5,3,3,3,17623,0,0,3,0,0,0,0,0,0,0,0,0,5,3,0,3
3,166.975,7,6,6,6,17623,0,0,6,9,0,0,9,0,0,0,0,0,1,9,6,15
7,552.749,8,7,7,7,17623,0,0,7,7,0,0,11,0,0,1,0,0,3,5,16,21
1,1123.298,11,6,9,6,17623,0,0,6,1,0,1,7,0,0,1,0,7,6,7,8,15
2,194.138,3,3,2,3,17623,0,0,3,0,0,0,0,0,0,0,0,2,1,3,0,3
6,1356.253,5,4,3,4,17623,0,0,4,0,0,0,1,0,0,0,0,3,4,4,2,6
2,968.695,5,4,4,4,17623,0,0,4,0,0,0,0,0,0,2,1,2,1,6,0,6
3,169.855,6,4,6,4,17623,0,0,4,3,0,0,5,0,0,1,0,0,1,4,2,6
1,193.051,3,3,3,3,17623,0,0,3,0,0,0,2,0,0,0,0,0,1,2,1,3
2,191.882,4,3,3,3,17623,0,0,3,0,0,0,3,0,0,0,0,0,1,3,0,3
2,789.036,7,4,5,4,17623,0,0,4,0,0,0,3,0,0,0,0,0,6,4,2,6
2,163.166,4,3,3,3,17623,0,0,3,0,0,0,2,0,0,0,0,0,1,3,0,3
2,191.891,8,3,8,3,17623,0,0,3,0,0,0,7,0,0,0,0,0,1,3,0,3
1,163.149,5,3,2,2,4,6,2,3,0,0,0,1,0,0,1,0,1,1,3,0,3
1,180.469,3,3,2,2,27,16,5,3,0,0,1,1,0,0,0,0,0,1,2,1,3
2,1189.614,6,4,6,4,17623,0,0,4,5,0,0,3,0,0,0,0,0,0,1,5,6
1,190.996,3,3,3,3,17623,0,0,3,0,0,0,2,0,0,0,0,0,1,3,0,3
2,174.938,4,4,4,4,17623,0,0,4,0,0,1,2,0,0,0,0,2,1,3,3,6
2,184.531,6,4,3,3,4,6,2,4,1,0,1,4,0,0,0,0,2,1,5,1,6
4,183.99,3,3,2,3,17623,0,0,3,0,0,0,1,0,0,0,0,1,1,1,2,3
3,169.253,3,3,3,3,17623,0,0,3,0,0,0,0,0,0,1,0,1,1,3,0,3
5,164.209,3,3,3,3,17623,0,0,3,0,0,0,1,0,0,0,0,1,1,3,0,3
12,1295.413,8,5,7,5,17623,0,0,5,3,0,0,9,0,0,0,0,0,2,3,7,10
1,169.231,3,3,2,3,17623,0,0,3,0,0,0,1,0,0,1,0,0,1,3,0,3
1,788.991,5,3,2,3,17623,0,0,3,0,0,0,0,0,0,0,0,0,5,3,0,3
1,25.398,3,3,3,3,17623,0,0,3,1,0,0,2,0,0,0,0,0,0,1,2,3
1,169.226,4,4,4,4,17623,0,0,4,0,0,1,3,0,0,0,0,1,1,3,3,6
3,187.272,6,3,6,3,17623,0,0,3,0,0,0,4,0,0,0,0,0,1,3,0,3
2,187.202,5,5,4,5,17623,0,0,5,3,0,0,6,0,0,0,0,0,1,4,6,10
2,175.738,5,5,5,5,17623,0,0,5,5,0,1,2,0,0,1,0,1,0,1,9,10
2,185.116,4,3,2,2,90,120,103,3,0,0,0,0,0,0,0,0,1,2,2,1,3
1,184.458,5,5,4,5,17623,0,0,5,3,0,0,5,0,0,0,0,1,1,3,7,10
1,180.288,3,3,2,2,27,16,5,3,0,0,0,1,0,0,0,0,1,1,2,1,3
1,183.92,4,3,4,3,17623,0,0,3,0,0,0,1,0,0,1,0,1,1,2,1,3
4,788.967,5,3,3,3,17623,0,0,3,0,0,0,0,0,0,0,0,0,5,3,0,3
1,788.959,5,3,3,3,17623,0,0,3,0,0,0,0,0,0,0,0,0,5,3,0,3
2,788.957,5,3,3,3,17623,0,0,3,0,0,0,0,0,0,0,0,0,5,3,0,3
1,180.234,4,4,4,4,17623,0,0,4,0,0,0,2,0,0,0,0,1,3,5,1,6
1,179.641,4,4,4,4,17623,0,0,4,0,0,1,1,0,0,0,0,2,2,5,1,6
