issue_id,status,owner,priority.code,priority.code.numeric,reported.by,elapsed.time,comments,commenters,comments.by.nonowners,commenters.nonowners,owner.bugs,owner.comments,owner.comments.nonowned,total.vertices,c1_c1,c1_c2,c1_c3,c1_c4,c2_c2,c2_c3,c2_c4,c3_c3,c3_c4,c4_c4,repeat.edges,total.distinct,total.edges
42388,Fix Released,Davanum Srinivas (DIMS),Medium,4,Dmitry Borodaenko,855.8239,14,8,14,8,121,667,460,8,0,0,0,0,0,2,4,0,7,6,12,16,28
42389,Fix Released,Sam Betts,Medium,4,Amogh,1715.0042,12,5,11,4,42,83,11,5,5,0,0,15,0,0,0,0,0,1,9,1,10
42390,Fix Released,Aaron Rosen,Medium,4,Aaron Rosen,853.2122,10,4,5,3,333,1485,312,4,0,0,0,0,0,0,0,0,0,5,3,3,6
42391,Fix Released,Nikita Konovalov,Medium,4,Andrew Lazarev,1698.2208,17,6,17,6,52,121,24,6,0,0,0,0,0,3,8,0,2,7,9,6,15
42392,Fix Released,Feodor Tersin,Medium,4,Feodor Tersin,741.9167,10,5,7,4,6,43,8,5,0,0,0,7,0,0,0,0,0,3,6,4,10
42393,Fix Released,Nikita Konovalov,Medium,4,Vadim Rovachev,1507.345,15,4,11,3,52,121,24,4,4,0,0,11,0,0,1,0,0,0,4,2,6
42394,Fix Released,Johannes Erdfelt,Medium,4,Johannes Erdfelt,736.1586,10,6,7,5,105,444,96,6,0,0,0,0,0,0,0,7,6,0,8,7,15
42395,Fix Released,Liyingjun,Medium,4,Liyingjun,1363.0361,10,4,6,3,128,461,156,4,0,0,0,0,0,0,0,0,6,0,3,3,6
42396,Fix Released,Hans Lindgren,Medium,4,Sam Morrison,724.9431,18,8,15,7,51,168,40,8,0,2,0,3,3,0,15,0,0,1,13,15,28
42397,Fix Released,Andrew Lazarev,Medium,4,Andrew Lazarev,1337.2375,9,4,7,3,143,1199,537,4,0,0,0,0,0,2,2,0,3,2,4,2,6
42398,Fix Released,Phil Day,Medium,4,Phil Day,662.0344,12,5,7,4,54,262,101,5,0,0,0,0,0,0,0,0,7,2,5,5,10
42399,Fix Released,Lin Hua Cheng,Medium,4,George Peristerakis,1143.0356,10,4,10,4,131,770,374,4,0,0,0,7,0,0,0,0,0,1,4,2,6
42400,Fix Released,Andrew Bramley,Medium,4,Andrew Bramley,640.3794,10,4,7,3,19,54,1,4,0,0,0,7,0,0,0,0,0,1,4,2,6
42401,Fix Released,Dan Smith,Medium,4,Dan Smith,1132.9958,25,7,23,6,99,284,98,7,0,0,1,2,0,0,0,0,22,11,9,12,21
42402,Fix Released,Vlad Okhrimenko,Medium,4,Timur Sufiev,571.4375,16,6,15,5,20,29,1,6,3,0,4,10,0,0,0,0,8,1,9,6,15
42403,Fix Released,Sam Betts,Medium,4,Lin Hua Cheng,522.3642,10,6,9,5,42,83,11,6,0,1,1,5,0,2,3,0,5,3,11,4,15
42404,Fix Released,Petrut Lucian,Medium,4,Petrut Lucian,1050.8789,21,7,18,6,27,66,7,7,0,0,3,16,0,0,0,0,16,13,15,6,21
42405,Fix Released,Gary W. Smith,Medium,4,Nikunj Aggarwal,503.1247,13,6,9,5,12,303,256,6,4,0,0,7,0,0,0,0,0,1,7,8,15
42406,Fix Released,Andrew Laski,Medium,4,Andrew Laski,491.0875,8,4,6,3,71,355,150,4,0,0,0,0,0,0,0,0,6,0,3,3,6
42407,Fix Released,Alex Xu,Medium,4,Alex Xu,1012.0214,12,6,9,5,96,290,32,6,0,0,0,0,0,0,8,0,1,2,6,9,15
42408,Fix Released,Julie Gravel,Medium,4,Julie Gravel,417.1978,11,5,6,4,6,49,33,5,1,0,0,8,0,0,0,0,1,0,6,4,10
42409,Fix Released,Thang Pham,Medium,4,Attila Fazekas,954.5797,12,7,10,6,52,146,49,7,0,0,4,2,0,0,1,2,7,0,11,10,21
42410,Fix Released,Timur Sufiev,Low,3,Steve Baker,892.6861,18,7,18,7,101,399,158,7,0,0,0,12,0,0,1,0,2,21,17,4,21
42411,Fix Released,Daniel Berrange,Medium,4,Daniel Berrange,333.3017,9,5,6,4,37,176,54,5,0,0,0,6,0,0,0,0,0,6,7,3,10
42412,Fix Released,Romain Hardouin,Low,3,Dafna Ron,871.19,15,6,14,5,7,7,1,6,1,0,1,17,0,0,0,0,1,15,14,1,15
42413,Fix Released,Shraddha Pandhe,Medium,4,Shraddha Pandhe,12762.6667,17,7,10,6,7,15,5,7,1,0,4,11,0,0,0,0,5,1,12,9,21
42414,Fix Released,Akihiro Motoki,Low,3,Rami Vaknin,723.3375,17,6,10,5,319,2773,1800,6,0,0,0,12,0,0,0,0,0,6,9,6,15
42415,Fix Released,Akihiro Motoki,Low,3,Rami Vaknin,8230.9153,15,6,10,5,319,2773,1800,6,0,0,0,10,0,0,0,0,0,4,7,8,15
42416,Fix Released,None,Medium,4,Scott Moser,688.9522,8,6,8,6,15804,0,0,6,0,0,0,0,0,0,0,1,7,5,10,5,15
42417,Fix Released,Liyingjun,Undecided,1,Liyingjun,7613.6881,9,4,6,3,128,461,156,4,0,0,0,0,0,0,0,0,6,0,3,3,6
42418,Fix Released,Matt Riedemann,Medium,4,Matt Riedemann,7613.57,12,3,2,2,179,2096,1422,3,0,0,0,0,0,0,0,0,0,2,2,1,3
42419,Fix Released,Artem Osadchiy,Undecided,1,Artem Osadchiy,622.7183,16,5,11,4,1,5,0,5,0,0,0,17,0,0,0,0,0,7,9,1,10
42420,Fix Released,Christopher Lefelhocz,Medium,4,Christopher Lefelhocz,915.9161,9,4,5,3,14,51,9,4,0,0,0,5,0,0,0,0,0,0,3,3,6
42421,Fix Released,Liyingjun,Undecided,1,Liyingjun,379.6078,8,3,5,2,128,461,156,3,0,0,0,0,0,0,0,0,5,0,2,1,3
42422,Fix Released,Matt Riedemann,Medium,4,Matt Riedemann,340.2314,13,5,7,4,179,2096,1422,5,0,0,0,0,0,0,0,0,0,17,6,4,10
42423,Fix Released,Matthew Oliver,Low,3,Nachi Ueno,140.7778,24,7,23,6,6,4,3,7,1,0,0,10,0,0,0,0,0,20,11,10,21
42424,Fix Released,Liyingjun,Low,3,Adam Huffman,590.5681,13,8,12,7,128,461,156,8,6,0,1,11,0,0,0,0,0,0,11,17,28
42425,Fix Released,jichenjc,Low,3,Phil Day,133.2772,18,7,15,6,82,174,6,7,4,3,6,7,1,2,3,2,12,0,16,5,21
42426,Fix Released,Johnu George,Low,3,Cindy Lu,23967.5464,13,9,12,8,1,1,0,9,6,7,0,12,0,0,3,0,5,2,21,15,36
42427,Fix Released,Cindy Lu,Low,3,David Lyle,5228.6147,21,7,19,6,71,455,251,7,0,2,0,7,0,0,18,0,4,18,17,4,21
42428,Fix Released,Christopher Yeoh,Low,3,Mathew Odden,8350.0192,10,4,6,3,83,384,188,4,0,3,1,2,0,0,1,0,2,0,4,2,6
42429,Fix Released,John Davidge,Low,3,Matthew D. Wood,4891.9375,12,7,11,6,8,37,1,7,5,0,0,17,0,0,0,0,1,5,13,8,21
42430,Fix Released,Pawel Skowron,Low,3,Julie Pichon,4386.8161,11,7,11,7,9,33,12,7,1,0,2,14,0,0,0,0,7,7,15,6,21
42431,Fix Released,Cindy Lu,Low,3,Cindy Lu,7508.53,9,5,6,4,71,455,251,5,0,1,1,3,0,1,2,0,4,0,7,3,10
42432,Fix Released,Cindy Lu,Low,3,Matt,4247.5958,13,7,12,6,71,455,251,7,4,0,0,8,0,0,1,0,0,0,6,15,21
42433,Fix Released,Thang Pham,Low,3,Jay Lau,2861.7164,27,10,25,9,52,146,49,10,7,8,8,22,0,0,3,0,24,0,24,21,45
42434,Fix Released,Gloria Gu,Low,3,Matt,2391.3572,14,7,11,6,17,98,40,7,7,0,0,21,0,0,0,0,0,3,16,5,21
42435,Fix Released,Thang Pham,Low,3,JuanFra Rodriguez Cardoso,2253.4469,18,6,13,5,52,146,49,6,17,0,0,9,0,0,0,0,0,1,11,4,15
42436,Fix Released,David Lyle,Low,3,Cindy Lu,6623.6047,15,7,15,7,70,1084,851,7,3,0,6,9,0,0,0,0,10,2,13,8,21
42437,Fix Released,Christopher Yeoh,Low,3,Christopher Yeoh,2250.6678,15,6,12,5,83,384,188,6,0,0,0,0,0,0,1,0,13,11,11,4,15
42438,Fix Released,Cindy Lu,Low,3,Cindy Lu,6529.5833,11,5,7,4,71,455,251,5,1,0,2,8,0,0,1,0,5,0,7,3,10
42439,Fix Released,Bradley Jones,Low,3,Matthias Runge,2053.9094,10,7,9,6,26,89,3,7,1,2,4,3,0,2,0,1,8,0,16,5,21
42440,Fix Released,Sylvain Bauza,Low,3,Vish Ishaya,5575.8664,14,6,10,5,28,65,24,6,1,0,0,13,0,0,0,0,0,4,10,5,15
42441,Fix Released,Timur Sufiev,Low,3,Timur Sufiev,1983.7203,9,4,7,3,101,399,158,4,0,0,0,0,0,0,0,0,7,1,4,2,6
42442,Fix Released,jichenjc,Low,3,Mark McLoughlin,1875.4819,9,5,7,4,82,174,6,5,0,0,0,6,0,0,1,0,0,8,10,0,10
42443,Fix Released,Timur Sufiev,Low,3,Timur Sufiev,4003.6383,9,4,7,3,101,399,158,4,0,0,0,0,0,0,0,0,7,3,4,2,6
42444,Fix Released,jichenjc,Low,3,jichenjc,1394.4192,10,5,7,4,82,174,6,5,0,2,0,4,0,0,3,0,0,2,6,4,10
42445,Fix Released,Thai Tran,Low,3,Thai Tran,3871.5369,10,4,7,3,35,106,39,4,0,0,0,9,0,0,0,0,0,1,4,2,6
42446,Fix Released,Cindy Lu,Low,3,Cindy Lu,1227.2014,9,4,6,3,71,455,251,4,0,0,0,4,0,0,0,0,2,1,4,2,6
42447,Fix Released,Ken'ichi Ohmichi,Low,3,Ken'ichi Ohmichi,3822.8586,10,5,7,4,67,227,42,5,0,0,0,0,1,4,3,0,0,0,4,6,10
42448,Fix Released,Matthias Runge,Low,3,Matthias Runge,1053.4169,9,3,5,2,47,413,237,3,0,0,0,0,0,0,0,0,7,0,2,1,3
42449,Fix Released,Joe Gordon,Low,3,Swann Croiset,1024.3411,11,6,10,5,139,1403,1005,6,0,0,0,9,0,0,0,0,0,7,9,6,15
42450,Fix Released,Julie Gravel,Low,3,Julie Gravel,3586.795,13,6,7,5,6,49,33,6,5,0,2,8,0,0,0,0,3,0,8,7,15
42451,Fix Released,jiang\,Low,3,Juan Manuel Ollé,988.175,12,7,9,6,22,51,7,7,7,0,3,5,0,0,0,0,0,0,5,16,21
42452,Fix Released,Chad Roberts,Low,3,Chad Roberts,3534.205,9,4,7,3,61,266,56,4,0,0,0,0,0,0,7,0,0,1,4,2,6
42453,Fix Released,Alex Xu,Low,3,Alex Xu,859.7433,16,7,13,6,96,290,32,7,0,3,4,1,2,4,5,3,2,0,10,11,21
42454,Fix Released,Akihiro Motoki,Low,3,Akihiro Motoki,3525.93,7,4,5,3,319,2773,1800,4,0,0,0,0,0,0,0,0,0,6,4,2,6
42455,Fix Released,Akihiro Motoki,Low,3,Akihiro Motoki,836.4967,7,3,4,2,319,2773,1800,3,0,0,0,0,0,0,0,0,0,7,3,0,3
42456,Fix Released,jichenjc,Low,3,Robert Collins,2794.9414,12,7,11,6,82,174,6,7,0,1,1,1,0,2,6,0,7,5,12,9,21
