issue.id,status,owner,priority.code,priority.code.numeric,reported.by,elapsed.time,comments,commenters,commenters.nonowners,comments.by.nonowners,owner.bugs,owner.comments,owner.comments.nonowned,total.vertices,c1_c1,c1_c2,c1_c3,c1_c4,c2_c2,c2_c3,c2_c4,c3_c3,c3_c4,c4_c4,repeat.edges,total.distinct.edges,total.edges
117400,RESOLVED,Chris Delahunt,normal,3,Chris Delahunt,14299.1692,7,3,2,4,106,78,63,3,0,2,0,0,0,2,0,2,0,0,3,0,3
117401,RESOLVED,Matt MacIvor,normal,3,Matt MacIvor,14903.4192,12,4,4,12,346,40,17,4,3,0,1,0,0,2,0,2,0,0,5,1,6
117403,RESOLVED,Chris Delahunt,normal,3,Chris Delahunt,14300.4194,7,3,2,4,106,78,63,3,1,1,0,0,0,2,0,2,0,0,3,0,3
117405,RESOLVED,Project Inbox,normal,3,Andrei Ilitchev,14753.7367,7,3,3,7,564,0,0,3,2,0,0,0,0,2,0,2,0,0,3,0,3
117408,RESOLVED,David McCann,normal,3,Rick Barkhouse,15426.2036,11,4,4,11,420,57,45,4,10,0,2,0,0,2,0,0,0,0,5,1,6
117411,RESOLVED,Andrei Ilitchev,major,5,Andrei Ilitchev,15312.5542,10,3,3,10,68,50,50,3,2,0,0,0,0,2,0,2,0,0,3,0,3
117412,RESOLVED,None,normal,3,None,15261.4208,10,3,3,10,305,109,109,3,2,0,0,0,0,2,0,0,0,0,2,1,3
117414,RESOLVED,Project Inbox,normal,3,Andrei Ilitchev,14730.9878,7,3,3,7,564,0,0,3,2,0,0,0,0,2,0,2,0,0,3,0,3
117416,RESOLVED,kyle chen,normal,3,kyle chen,15911.9714,9,3,2,4,6,25,8,3,2,0,2,0,0,0,0,0,0,0,2,1,3
117421,RESOLVED,Chris Delahunt,normal,3,Chris Delahunt,14252.0883,7,3,2,4,106,78,63,3,0,2,0,0,0,2,0,2,0,0,3,0,3
117422,RESOLVED,Matt MacIvor,normal,3,Matt MacIvor,14567.7056,9,4,3,5,346,40,17,4,2,1,0,0,0,3,0,0,0,0,4,2,6
117424,RESOLVED,Tom Ware,normal,3,Tom Ware,15383.4556,7,3,2,4,316,216,210,3,2,0,0,0,0,0,0,4,0,0,3,0,3
117427,RESOLVED,Project Inbox,major,5,Andrei Ilitchev,14753.7728,7,3,3,7,564,0,0,3,2,0,0,0,0,2,0,2,0,0,3,0,3
