"issue.id","ElapsedTime","Interest","Contributors","ExternalContributors","CommunityInterest","DeveloperExperience","OwnerEngagement","OwnerSpectrum","TotalVertices","C1C1","C1C2","C1C3","C1C4","C2C2","C2C3","C2C4","C3C3","C3C4","C4C4","RepeatInteractions","TotalDistinctEdges","TotalEdges"
218861,357.2936,13,5,5,13,6700,0,0,5,1,0,1,17,0,0,0,0,5,3,8,2,10
218911,14370.4081,8,3,3,8,6700,0,0,3,0,0,0,0,0,0,0,0,2,1,3,0,3
219027,1003.3003,14,8,8,14,6700,0,0,8,6,0,8,32,0,0,0,0,1,0,14,14,28
219119,11043.3044,37,12,12,37,6700,0,0,12,39,0,41,48,0,0,0,12,26,10,57,9,66
219191,14311.2619,6,4,4,6,6700,0,0,4,1,0,0,6,0,0,0,0,0,1,4,2,6
219226,14393.1242,15,5,5,15,157,119,119,5,0,0,2,2,0,0,0,0,12,3,4,6,10
219273,15927.9111,13,6,6,13,780,0,0,6,6,8,0,10,0,0,2,0,0,0,15,0,15
219326,20254.5625,35,19,19,35,780,0,0,19,73,33,13,51,4,2,4,0,0,0,95,76,171
219340,10439.2339,26,9,9,26,780,0,0,9,31,27,30,12,0,14,3,0,7,0,29,7,36
219346,45381.9314,23,12,12,21,6,8,4,12,46,17,4,32,0,0,2,0,0,2,48,18,66
219358,4800.6078,22,7,7,22,6700,0,0,7,3,0,0,40,0,0,0,0,1,35,9,12,21
219379,22213.4922,12,7,7,12,780,0,0,7,15,5,6,6,2,2,2,0,0,0,16,5,21
219416,16700.8433,15,8,8,15,780,0,0,8,14,4,0,17,0,0,2,0,0,1,15,13,28
219521,39652.5069,16,8,8,16,6700,0,0,8,8,5,14,11,0,3,3,0,2,0,11,17,28
219591,2112.4061,7,3,3,7,6700,0,0,3,1,0,0,3,0,0,0,0,0,0,3,0,3
219614,3184.9589,13,9,9,13,780,0,0,9,46,0,0,16,0,0,0,0,0,0,25,11,36
219629,20481.6314,16,10,10,16,6700,0,0,10,41,0,4,22,0,0,0,0,1,3,33,12,45
219632,29901.8511,18,6,6,18,6700,0,0,6,0,2,4,5,0,4,7,0,9,4,11,4,15
219780,1793.9217,22,7,7,22,2,0,0,7,16,0,0,43,0,0,0,0,0,14,16,5,21
219788,23273.8231,11,4,4,11,176,73,63,4,6,0,4,2,0,0,0,0,0,0,4,2,6
219790,25725.7422,17,3,3,17,278,75,71,3,0,0,0,16,0,0,1,0,1,6,3,0,3
219794,34819.3931,17,6,6,17,278,75,71,6,4,5,0,15,0,0,10,0,2,10,15,0,15
219818,166.7047,17,4,4,17,350,167,143,4,0,0,0,0,0,0,0,0,12,4,5,1,6
219821,9242.7008,18,6,6,18,140,3,3,6,0,2,5,6,0,2,4,0,16,13,14,1,15
219844,813.0939,21,6,6,21,176,73,63,6,0,5,0,15,0,0,4,0,0,10,11,4,15
220127,27522.5597,14,5,5,14,278,75,71,5,0,2,1,10,0,0,2,0,5,4,7,3,10
220128,18507.5564,11,5,5,11,757,726,703,5,0,0,0,0,0,0,10,0,0,3,3,7,10
220178,1868.8594,16,5,5,16,652,348,337,5,1,6,0,12,0,0,6,0,0,1,7,3,10
220245,7031.8158,17,3,3,17,350,167,143,3,0,0,0,0,0,0,0,0,16,0,2,1,3
220426,2952.6342,24,13,13,24,246,0,0,13,58,0,0,34,0,0,0,0,0,6,8,70,78
220435,3853.3144,12,7,7,12,246,0,0,7,3,6,8,6,0,3,3,2,5,1,10,11,21
220455,18838.3394,26,4,4,26,278,75,71,4,0,0,0,0,0,4,11,0,10,17,6,0,6
220632,665.4808,17,4,4,17,176,73,63,4,0,0,0,0,0,2,4,0,13,0,5,1,6
220666,30863.9411,18,4,4,18,176,73,63,4,0,0,0,0,0,0,0,0,4,16,5,1,6
220672,27237.0111,17,6,6,17,278,75,71,6,0,2,3,11,0,2,5,0,11,4,14,1,15
220678,43512.7889,34,6,6,34,350,167,143,6,0,0,0,0,0,0,0,3,9,56,8,7,15
220963,19984.5742,67,46,46,67,1,2,2,46,805,43,47,151,0,1,3,0,4,13,132,903,1035
220976,743.725,11,5,5,11,89,160,160,5,8,0,5,3,0,0,0,0,1,0,7,3,10
220989,139.9467,10,5,5,10,89,160,160,5,0,1,4,1,0,4,1,2,2,0,9,1,10
221045,9049.0419,15,8,8,15,128,200,196,8,6,2,9,15,0,0,0,0,6,5,16,12,28
221048,1116.8197,16,5,5,16,89,160,160,5,5,3,4,3,0,4,5,0,4,0,7,3,10
221073,43338.6631,61,44,44,59,1,10,9,44,961,18,6,176,0,0,0,0,0,9,259,687,946
221091,9594.5683,21,5,5,21,89,160,160,5,0,0,0,2,0,0,7,0,4,8,5,5,10
221192,15965.8744,8,3,3,7,2,34,33,3,1,4,3,0,0,0,0,0,0,0,3,0,3
221193,21819.8419,50,24,24,50,89,160,160,24,111,81,29,106,12,9,16,1,12,13,134,142,276
221286,7195.5353,18,5,5,18,89,160,160,5,2,8,10,0,0,0,0,4,0,0,5,5,10
221307,7051.2958,6,4,4,6,1403,0,0,4,1,0,2,2,0,0,0,0,1,0,5,1,6
221380,32828.7333,12,7,7,12,225,0,0,7,3,10,3,12,2,2,8,1,5,0,13,8,21
221390,21668.5186,29,25,25,29,49,6,6,25,180,26,30,58,0,2,5,0,2,3,43,257,300
221454,29682.1511,14,8,8,14,77,17,17,8,56,1,1,0,0,0,0,0,0,0,22,6,28
221515,18049.7494,21,7,7,21,178,8,8,7,1,2,6,21,0,0,0,1,21,10,15,6,21
221516,25617.3453,22,10,10,22,242,149,149,10,15,2,7,23,0,2,4,0,8,1,26,19,45
221534,12964.3936,7,5,5,7,728,0,0,5,3,0,1,5,0,0,0,0,0,0,2,8,10
221538,20627.3625,17,12,12,17,728,0,0,12,40,8,30,5,0,2,1,4,1,0,29,37,66
221572,24076.7422,11,5,5,11,1403,0,0,5,7,0,6,7,0,3,0,0,3,0,9,1,10
221701,256.5511,13,5,5,13,728,0,0,5,0,0,0,0,0,7,4,4,8,1,8,2,10
