"","issue.id","ElapsedTime","Interest","Contributors","ExternalContributors","CommunityInterest","DeveloperExperience","OwnerEngagement","OwnerSpectrum","TotalVertices","C1C1","C1C2","C1C3","C1C4","C2C2","C2C3","C2C4","C3C3","C3C4","C4C4","RepeatInteractions","TotalDistinctEdges","TotalEdges"
"C1C1",0.0332108594202099,0.0753713712391248,0.46875967857437,0.734013458769785,0.731620417121181,0.463145012978105,-0.00439246427757047,-0.0198026707641835,-0.0197008912923812,0.733993131577021,1,0.849088487394132,0.825123781605037,0.779159091167898,0.102117552495846,0.18355714125628,0.220759040500945,0.14620435209025,0.206244051292467,0.145563375264457,0.875275495221416,0.936981639044933,0.964582298545207
"C1C2",0.0331940789483258,0.097709620954651,0.574416769521058,0.775434719722175,0.772688723594736,0.564213236691504,-0.0439060014640374,-0.0345973874763763,-0.0345140214711019,0.77541170777842,0.849088487394132,1,0.811296574976977,0.795126202809396,0.333021490485382,0.391602357098723,0.43410818913292,0.205115393258984,0.277894926082179,0.211889045386115,0.800249900945711,0.856042605928928,0.881531455894191
"C1C3",0.0358764289825671,0.091307254183577,0.580636220739437,0.761047365965609,0.758692836708306,0.572965729346082,-0.042428497775852,-0.0356465262493626,-0.0356920850953687,0.761031624268228,0.825123781605037,0.811296574976977,1,0.813548735088078,0.160302932810686,0.375721732719459,0.302851588629728,0.354229008261643,0.389923797607638,0.193003725876671,0.875144079879608,0.803061020640932,0.885100366021988
"C1C4",0.0648990661277999,0.150205875416084,0.643654918740624,0.838403396146177,0.837228722111774,0.641234934478303,0.01198506338763,0.0210551957161657,0.0212873937176731,0.838387322277225,0.779159091167898,0.795126202809396,0.813548735088078,1,0.192892076888479,0.252237157305158,0.476120310294981,0.179711164984258,0.408838517975405,0.432964142868767,0.84713258268335,0.833823794272387,0.890257513246393
"C2C2",-0.00856597943320196,0.0283863715554061,0.252175016092478,0.21404541907082,0.213287069750907,0.247056567433229,-0.072088782673266,-0.0383067148043372,-0.0381720757350108,0.214045713394091,0.102117552495846,0.333021490485382,0.160302932810686,0.192892076888479,1,0.412249378444257,0.375345700831271,0.115249611105512,0.138841474612699,0.104614758762616,0.131134580753687,0.148273912113887,0.149196353849044
"C2C3",-0.00155401401503834,0.0342155708230467,0.403038277646407,0.333133822336936,0.332049071010499,0.396273210661594,-0.0969716450410127,-0.0489257316135026,-0.0489117490641107,0.333135088995297,0.18355714125628,0.391602357098723,0.375721732719459,0.252237157305158,0.412249378444257,1,0.402609475414002,0.412804529779501,0.319312353896062,0.0832160289347828,0.235388207636033,0.227446398228043,0.244854369943397
"C2C4",0.0431309587372844,0.112085390806737,0.493009751732374,0.447422012360713,0.448032676117553,0.493005637169033,-0.0173115792650708,0.0250277743209087,0.0255510459307843,0.44742088224381,0.220759040500945,0.43410818913292,0.302851588629728,0.476120310294981,0.375345700831271,0.402609475414002,1,0.13111719247934,0.387003059108904,0.438747860590612,0.324108845145125,0.311641695526666,0.336234390950007
"C3C3",-0.01870276285155,0.0197540785309213,0.328898669708626,0.253630386491291,0.253348875997437,0.325237027934735,-0.0809028088128362,-0.0436250725862926,-0.0434479692645521,0.253633836608847,0.14620435209025,0.205115393258984,0.354229008261643,0.179711164984258,0.115249611105512,0.412804529779501,0.13111719247934,1,0.422984253369836,0.0547189295072241,0.20121781575255,0.165613227800076,0.192220918259157
"C3C4",0.0398610974725873,0.099630687083788,0.557910902705229,0.460642345826896,0.461919665678554,0.558179622160684,-0.0294318393894753,0.0397431512506048,0.0400249416681702,0.4606469376943,0.206244051292467,0.277894926082179,0.389923797607638,0.408838517975405,0.138841474612699,0.319312353896062,0.387003059108904,0.422984253369836,1,0.419645458643134,0.329179877750611,0.281608900122882,0.320792779976776
"C4C4",0.0535212035853035,0.239318594049904,0.54303370558057,0.411301409185182,0.41385202645839,0.54878112620899,0.123489498187671,0.146373311106804,0.146997738030196,0.411308642458798,0.145563375264457,0.211889045386115,0.193003725876671,0.432964142868767,0.104614758762616,0.0832160289347828,0.438747860590612,0.0547189295072241,0.419645458643134,1,0.279364332182552,0.232069113715659,0.268140686371276
"RepeatInteractions",0.0348501917892315,0.0868637980462428,0.478510011800385,0.707740956852453,0.705888579802199,0.474952974061645,0.0159602803612738,-0.0040174879823993,-0.00383105395966582,0.707723626684344,0.875275495221416,0.800249900945711,0.875144079879608,0.84713258268335,0.131134580753687,0.235388207636033,0.324108845145125,0.20121781575255,0.329179877750611,0.279364332182552,1,0.776085816327783,0.927433374301283
"TotalDistinctEdges",0.0461186049236912,0.107986581046323,0.530500559394166,0.815148279607657,0.812778130140287,0.525905563842255,-0.0056973189951768,-0.0109798070065562,-0.0108674290223095,0.8151270492428,0.936981639044933,0.856042605928928,0.803061020640932,0.833823794272387,0.148273912113887,0.227446398228043,0.311641695526666,0.165613227800076,0.281608900122882,0.232069113715659,0.776085816327783,1,0.955615197389146
"TotalEdges",0.0436316461987276,0.104621767146194,0.538160307936172,0.814060896347162,0.811789901251757,0.533773499159994,0.00407760634104838,-0.00838838352761147,-0.00823464006073502,0.81404020950924,0.964582298545207,0.881531455894191,0.885100366021988,0.890257513246393,0.149196353849044,0.244854369943397,0.336234390950007,0.192220918259157,0.320792779976776,0.268140686371276,0.927433374301283,0.955615197389146,1
