"ElapsedTime","Interest","Contributors","CommunityInterest","ExternalContributors","DeveloperExperience","OwnerEngagement","OwnerSpectrum","TotalVertices","C1C1","C1C2","C1C3","C1C4","C2C2","C2C3","C2C4","C3C3","C3C4","C4C4","RepeatInteractions","total.distinct","TotalEdges"
1984.1289,9,3,3,2,370,3863,2311,3,2,0,0,0,0,2,0,0,0,0,2,1,3
1486.1108,10,4,7,3,127,400,194,4,8,0,2,0,0,0,0,0,0,0,6,0,6
763.3581,8,4,5,3,370,3863,2311,4,7,0,2,0,0,0,0,0,0,0,4,2,6
670.7183,10,3,9,2,67,335,160,3,7,0,0,0,0,2,0,0,0,0,1,2,3
615.6714,9,5,6,4,370,3863,2311,5,10,0,2,0,0,0,0,0,0,0,5,5,10
599.8011,8,4,7,3,67,367,220,4,3,3,0,0,0,2,0,0,0,0,6,0,6
591.0461,12,4,4,3,161,57002,55005,4,4,6,0,0,0,2,0,0,0,0,5,1,6
571.5217,9,4,4,3,370,3863,2311,4,3,0,0,0,0,2,0,0,0,0,4,2,6
437.1117,11,3,9,2,19,66,30,3,2,6,2,0,0,2,0,0,0,0,3,0,3
413.0336,12,3,3,2,161,57002,55005,3,6,3,2,0,0,0,0,0,0,0,2,1,3
321.0678,9,4,7,3,370,3863,2311,4,1,3,0,0,3,2,0,0,0,0,5,1,6
290.9319,11,3,11,3,6,0,0,3,1,5,6,0,0,0,0,0,0,0,2,1,3
242.3906,11,4,9,3,14,27,18,4,0,3,3,0,1,10,0,0,0,0,6,0,6
233.4397,8,3,4,2,23,2061,2019,3,1,0,6,0,0,0,0,0,0,0,2,1,3
3496.8731,10,3,10,3,15804,0,0,3,2,1,2,0,1,2,0,0,0,0,3,0,3
3023.0925,10,4,7,3,10,99,78,4,9,0,2,0,0,0,0,0,0,0,4,2,6
2999.3272,11,5,8,4,73,294,52,5,12,0,2,0,0,0,0,0,0,0,6,4,10
2849.3603,7,3,7,3,15804,0,0,3,2,1,2,0,1,2,0,0,0,0,3,0,3
2833.5208,12,3,7,2,67,367,220,3,6,6,2,0,0,2,0,0,0,0,3,0,3
2472.5142,11,6,8,5,73,294,52,6,18,0,6,0,0,2,0,0,0,0,12,3,15
2444.2803,8,3,4,2,10,99,78,3,4,0,2,0,0,2,0,0,0,0,3,0,3
1919.8244,12,6,11,5,3,22,10,6,16,0,2,0,0,2,0,0,0,0,10,5,15
1917.1614,8,4,8,4,15804,0,0,4,4,2,4,0,1,2,0,0,0,0,4,2,6
1768.2319,10,4,5,3,67,367,220,4,6,0,0,0,0,2,0,0,0,0,3,3,6
1636.1369,13,4,7,3,67,367,220,4,11,1,0,0,0,2,0,0,0,0,5,1,6
1416.7206,10,4,7,3,73,294,52,4,5,6,2,0,0,2,0,0,0,0,6,0,6
1409.0089,11,4,4,3,370,3863,2311,4,5,0,0,0,0,2,0,0,0,0,4,2,6
1274.7156,9,4,6,3,2,14,6,4,5,0,2,0,0,0,0,0,0,0,4,2,6
1169.9011,9,4,4,3,370,3863,2311,4,6,0,0,0,0,2,0,0,0,0,4,2,6
1165.5014,9,3,5,2,370,3863,2311,3,6,0,2,0,0,2,0,0,0,0,3,0,3
1125.5278,11,3,9,2,19,66,30,3,11,0,4,0,0,0,0,0,0,0,3,0,3
734.8942,9,4,4,3,370,3863,2311,4,6,0,0,0,0,2,0,0,0,0,4,2,6
683.9644,9,3,3,2,370,3863,2311,3,1,0,0,0,0,2,0,0,0,0,2,1,3
636.2894,11,3,10,2,67,335,160,3,2,1,0,0,0,2,0,0,0,0,2,1,3
626.4775,9,4,4,3,67,367,220,4,1,2,0,0,0,2,0,0,0,0,4,2,6
570.9542,10,4,4,3,370,3863,2311,4,3,0,0,0,0,2,0,0,0,0,4,2,6
570.2583,18,4,14,3,3,27,18,4,19,1,2,0,0,0,0,0,0,0,4,2,6
451.1067,11,4,8,3,370,3863,2311,4,2,7,2,0,2,0,0,0,0,0,5,1,6
445.3689,9,3,6,2,15,46,30,3,5,0,2,0,0,0,0,0,0,0,2,1,3
444.7261,9,4,7,3,15,46,30,4,7,0,2,0,0,0,0,0,0,0,5,1,6
444.1156,9,4,6,3,15,46,30,4,5,2,2,0,0,0,0,0,0,0,5,1,6
637.2722,6,3,4,2,67,367,220,3,0,2,2,0,0,2,0,0,0,0,3,0,3
608.4611,11,5,11,5,15804,0,0,5,13,4,2,0,0,0,0,0,0,0,8,2,10
483.2944,8,5,6,4,67,367,220,5,3,4,2,0,0,0,0,0,0,0,5,5,10
353.1886,7,4,4,3,30,80,11,4,2,0,2,0,0,0,0,0,0,0,3,3,6
305.3783,6,4,6,4,15804,0,0,4,3,0,2,0,0,0,0,0,0,0,4,2,6
280.8403,10,3,5,2,22,55,38,3,5,2,4,0,0,0,0,0,0,0,3,0,3
411.9081,12,5,8,4,310,1396,577,5,13,0,4,0,0,0,0,0,0,0,5,5,10
401.2667,9,4,9,4,15804,0,0,4,5,1,2,0,0,0,0,0,0,0,5,1,6
331.7161,8,3,8,3,15804,0,0,3,0,3,2,0,2,2,0,0,0,0,2,1,3
331.5408,9,4,7,3,15,46,30,4,3,4,2,0,0,0,0,0,0,0,5,1,6
279.4597,11,4,6,3,67,367,220,4,0,3,0,0,2,3,0,0,0,0,5,1,6
